"?cido 4-indol-3-ilbut?rico (?cido indolalcan?ico) (.05 g/L) + ?cido giber?lico (giberelina) (.05 g/L) + cinetina (citocinina) (.09 g/L)",B-INGREDIENTE_ATIVO
"?cido 4-indol-3-ilbut?rico (?cido indolalcan?ico) (.5 g/L) + ?cido giber?lico (giberelina) (.5 g/L) + cinetina (citocinina) (.9 g/L)",B-INGREDIENTE_ATIVO
"?cido 4-indol-3-ilbut?rico (?cido indolalcan?ico) (8.75 g/L) + cinetina (citocinina) (1.54 g/L)",B-INGREDIENTE_ATIVO
"?cido giber?lico (giberelina) (400 g/kg)",B-INGREDIENTE_ATIVO
"?cido indolac?tico (Auxinas) (.03 g/L)",B-INGREDIENTE_ATIVO
"?cido nonan?ico (?cido dioxociclohexanocarbox?lico) (650 g/L)",B-INGREDIENTE_ATIVO
"?leo mineral (hidrocarbonetos alif?ticos) (800 g/L)",B-INGREDIENTE_ATIVO
"?leo mineral (hidrocarbonetos alif?ticos) (845.75 g/L)",B-INGREDIENTE_ATIVO
"?leo vegetal (?steres de ?cidos graxos) (60 g/L)",B-INGREDIENTE_ATIVO
"?xido cuproso (inorg?nico) (860 g/kg)",B-INGREDIENTE_ATIVO
"2,4-D (?cido ariloxialcan?ico) (300 g/L)",B-INGREDIENTE_ATIVO
"2,4-D (?cido ariloxialcan?ico) (806 g/kg)",B-INGREDIENTE_ATIVO
"2,4-D (?cido ariloxialcan?ico) (806 g/L)",B-INGREDIENTE_ATIVO
"2,4-D (?cido ariloxialcan?ico) (867 g/L)",B-INGREDIENTE_ATIVO
"2,4-D (?cido ariloxialcan?ico) (868 g/L)",B-INGREDIENTE_ATIVO
"2,4-D (?cido ariloxialcan?ico) (970 g/kg)",B-INGREDIENTE_ATIVO
"2,4-D (?cido ariloxialcan?ico) (975 g/kg)",B-INGREDIENTE_ATIVO
"2,4-D amina (?cido ariloxialcan?ico) (806 g/L)",B-INGREDIENTE_ATIVO
"2,4-D amina (?cido ariloxialcan?ico) (975 g/kg)",B-INGREDIENTE_ATIVO
"2,4-D Sal de Colina (?cido ariloxialcan?ico) (668.62 g/L)",B-INGREDIENTE_ATIVO
"2,4-D sal s?dico (?cido ariloxialcan?ico) (880 g/kg)",B-INGREDIENTE_ATIVO
"2,4-D-dimetilamina (?cido ariloxialcan?ico) (480 g/L)",B-INGREDIENTE_ATIVO
"2,4-D-dimetilamina (?cido ariloxialcan?ico) (806 g/L)",B-INGREDIENTE_ATIVO
"2,4-D-dimetilamina (?cido ariloxialcan?ico) (867 g/L)",B-INGREDIENTE_ATIVO
"2,4-D-dimetilamina (?cido ariloxialcan?ico) (970 g/kg)",B-INGREDIENTE_ATIVO
"2,4-D-dimetilamina (?cido ariloxialcan?ico) (975 g/kg)",B-INGREDIENTE_ATIVO
"2,4-D, sal de dietanolamina (?cido ariloxialcan?ico) (442.8 g/L) + 2,4-D-dimetilamina (?cido ariloxialcan?ico) (361.2 g/L)",B-INGREDIENTE_ATIVO
"Abamectina (avermectina) (18 g/L)",B-INGREDIENTE_ATIVO
"Abamectina (avermectina) (18 g/L) + Ciantraniliprole (antranilamida) (60 g/L)",B-INGREDIENTE_ATIVO
"Abamectina (avermectina) (18 g/L) + clorantraniliprole (antranilamida) (45 g/L)",B-INGREDIENTE_ATIVO
"Abamectina (avermectina) (36 g/L)",B-INGREDIENTE_ATIVO
"Abamectina (avermectina) (400 g/kg)",B-INGREDIENTE_ATIVO
"Abamectina (avermectina) (500 g/L)",B-INGREDIENTE_ATIVO
"Abamectina (avermectina) (600 g/kg)",B-INGREDIENTE_ATIVO
"Abamectina (avermectina) (72 g/L)",B-INGREDIENTE_ATIVO
"Abamectina (avermectina) (84 g/L)",B-INGREDIENTE_ATIVO
"acefato (organofosforado) (750 g/kg)",B-INGREDIENTE_ATIVO
"acefato (organofosforado) (750 g/L)",B-INGREDIENTE_ATIVO
"acefato (organofosforado) (850 g/kg) + bifentrina (piretr?ide) (30 g/kg)",B-INGREDIENTE_ATIVO
"acefato (organofosforado) (920 g/kg)",B-INGREDIENTE_ATIVO
"acefato (organofosforado) (950 g/kg)",B-INGREDIENTE_ATIVO
"acefato (organofosforado) (970 g/kg)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (100 g/L) + alfa-cipermetrina (piretr?ide) (200 g/L)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (100 g/L) + bifentrina (piretr?ide) (67 g/L)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (186 g/L) + piriproxifem (?ter piridiloxiprop?lico) (124 g/L)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (200 g/kg)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (200 g/L)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (200 g/L) + lambda-cialotrina (piretr?ide) (250 g/L)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (200 g/L) + lambda-cialotrina (piretr?ide) (80 g/L)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (200 g/L) + piriproxifem (?ter piridiloxiprop?lico) (100 g/L)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (240 g/kg) + Espiropidion (?cido tetramico ) (300 g/kg)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (250 g/kg) + bifentrina (piretr?ide) (250 g/kg)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (250 g/L) + bifentrina (piretr?ide) (250 g/L)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (375 g/L) + bifentrina (piretr?ide) (165 g/L)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (400 g/L) + fipronil (pirazol) (100 g/L)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (725 g/kg)",B-INGREDIENTE_ATIVO
"acetamiprido (neonicotin?ide) (75 g/L) + fenpropatrina (piretr?ide) (112.5 g/L)",B-INGREDIENTE_ATIVO
"acetato de (Z)-11-hexadecenila (acetato insaturado) (.00066 g/kg) + acetato de (Z)-7-dodecenila (acetato insaturado) (.00066 g/kg) + acetato de (Z)-9-tetradecenila (acetato insaturado) (.00066 g/kg)",B-INGREDIENTE_ATIVO
"acetato de (Z)-7-dodecenila (acetato insaturado) (10.45 g/kg)",B-INGREDIENTE_ATIVO
"Acetocloro (cloroacetanilida) (359 g/L)",B-INGREDIENTE_ATIVO
"acifluorfem-s?dico (?ter difen?lico) (140 g/L) + bentazona (benzotiadiazinona) (400 g/L)",B-INGREDIENTE_ATIVO
"acifluorfem-s?dico (?ter difen?lico) (170 g/L)",B-INGREDIENTE_ATIVO
"acifluorfem-s?dico (?ter difen?lico) (170 g/L) + bentazona (benzotiadiazinona) (400 g/L)",B-INGREDIENTE_ATIVO
"acifluorfem-s?dico (?ter difen?lico) (80 g/L) + bentazona (benzotiadiazinona) (300 g/L)",B-INGREDIENTE_ATIVO
"Afidopiropeno (?cido tetramico ) (100 g/L)",B-INGREDIENTE_ATIVO
"Alacloro (cloroacetanilida) (480 g/L)",B-INGREDIENTE_ATIVO
"alfa-cipermetrina (piretr?ide) (100 g/L)",B-INGREDIENTE_ATIVO
"alfa-cipermetrina (piretr?ide) (220 g/kg) + Dinotefuram (neonicotin?ide) (140 g/kg)",B-INGREDIENTE_ATIVO
"alfa-cipermetrina (piretr?ide) (75 g/L) + teflubenzurom (benzoilur?ia) (75 g/L)",B-INGREDIENTE_ATIVO
"Allium sativum (extrato vegetal) (800 g/L)",B-INGREDIENTE_ATIVO
"amicarbazona (triazolinona) (50 g/L) + Dibrometo de diquate (bipirid?lio) (373.5 g/L)",B-INGREDIENTE_ATIVO
"Argemone Mexicana, Extrato de (Derivado vegetal) (179.8 g/L)",B-INGREDIENTE_ATIVO
"Atrazina (triazina) (500 g/L) + Mesotriona (Tricetona) (50 g/L)",B-INGREDIENTE_ATIVO
"Atrazina (triazina) (900 Kg/ha) + Atrazina (triazina) (900 Kg/ha)",B-INGREDIENTE_ATIVO
"azadiractina (Tetranortriterpen?ide) (12 g/L)",B-INGREDIENTE_ATIVO
"azadiractina (Tetranortriterpen?ide) (3 g/L)",B-INGREDIENTE_ATIVO
"azadiractina (Tetranortriterpen?ide) (850 ml/litro)",B-INGREDIENTE_ATIVO
"Azoxistrobina (estrobilurina) (100 g/L) + Benzovindiflupyr (pirazol carboxamida) (50 g/L)",B-INGREDIENTE_ATIVO
"Azoxistrobina (estrobilurina) (100 g/L) + epoxiconazol (triazol) (100 g/L)",B-INGREDIENTE_ATIVO
"Azoxistrobina (estrobilurina) (100 g/L) + tetraconazol (triazol) (80 g/L)",B-INGREDIENTE_ATIVO
"Azoxistrobina (estrobilurina) (110 g/L) + ciproconazol (triazol) (80 g/L) + oxicloreto de cobre (inorg?nico) (436.8 g/L)",B-INGREDIENTE_ATIVO
"Azoxistrobina (estrobilurina) (120 g/kg) + Benzovindiflupyr (pirazol carboxamida) (60 g/kg)",B-INGREDIENTE_ATIVO
"Azoxistrobina (estrobilurina) (120 g/L) + tebuconazol (triazol) (160 g/L)",B-INGREDIENTE_ATIVO
"Azoxistrobina (estrobilurina) (120 g/L) + tebuconazol (triazol) (200 g/L)",B-INGREDIENTE_ATIVO
"Azoxistrobina (estrobilurina) (120 g/L) + tebuconazol (triazol) (240 g/L)",B-INGREDIENTE_ATIVO
"Azoxistrobina (estrobilurina) (120 g/L) + tebuconazol (triazol) (360 g/L)",B-INGREDIENTE_ATIVO
